counts	gene
663	1205	ENSMUSG00000004069.17
664	1606.94	ENSMUSG00000004070.15
665	1145.996	ENSMUSG00000004071.13
666	144.14	ENSMUSG00000004085.14
667	1297.001	ENSMUSG00000004096.9
668	100	ENSMUSG00000004098.7
669	1863.891	ENSMUSG00000004099.16
670	629.171	ENSMUSG00000004100.12
671	962.999	ENSMUSG00000004105.8
672	5.235	ENSMUSG00000004110.17
673	71	ENSMUSG00000004113.18
674	171.199	ENSMUSG00000004127.12
675	13.357	ENSMUSG00000004151.17
676	54.999	ENSMUSG00000004187.11
677	32115	ENSMUSG00000004207.14
678	1037.295	ENSMUSG00000004221.16
679	65	ENSMUSG00000004231.15
680	147.672	ENSMUSG00000004233.14
681	741	ENSMUSG00000004263.15
682	3401	ENSMUSG00000004264.17
683	673.999	ENSMUSG00000004266.15
684	48	ENSMUSG00000004267.16
685	1094.486	ENSMUSG00000004268.11
686	1824	ENSMUSG00000004270.13
687	1834.954	ENSMUSG00000004285.12
688	0	ENSMUSG00000004296.14
689	886	ENSMUSG00000004317.14
690	836.061	ENSMUSG00000004319.15
691	333	ENSMUSG00000004328.15
692	1	ENSMUSG00000004341.8
693	0	ENSMUSG00000004344.12
694	52.508	ENSMUSG00000004347.17
695	378.001	ENSMUSG00000004356.8
696	13.158	ENSMUSG00000004359.16
697	1.326	ENSMUSG00000004360.9
698	2023	ENSMUSG00000004364.14
699	0	ENSMUSG00000004366.4
700	12.173	ENSMUSG00000004371.15
701	499	ENSMUSG00000004383.18
702	842	ENSMUSG00000004393.10
703	1192.999	ENSMUSG00000004394.12
704	29.234	ENSMUSG00000004415.15
705	406	ENSMUSG00000004446.12
706	3416	ENSMUSG00000004451.14
707	2461.036	ENSMUSG00000004455.16
708	4251	ENSMUSG00000004460.17
709	379.001	ENSMUSG00000004462.7
710	16	ENSMUSG00000004473.10
711	139	ENSMUSG00000004500.9
712	1358	ENSMUSG00000004508.6
713	2250.715	ENSMUSG00000004530.12
714	6256.999	ENSMUSG00000004535.12
715	11343.844	ENSMUSG00000004540.7
716	10811.514	ENSMUSG00000004542.15
717	119	ENSMUSG00000004552.16
718	167.001	ENSMUSG00000004558.15
719	176.484	ENSMUSG00000004561.14
720	145.8	ENSMUSG00000004562.16
721	840.999	ENSMUSG00000004565.15
722	1098.2	ENSMUSG00000004567.16
723	1059.04	ENSMUSG00000004568.13
724	2547	ENSMUSG00000004591.16
725	39.148	ENSMUSG00000004609.11
726	2804.001	ENSMUSG00000004610.4
727	34	ENSMUSG00000004612.9
728	2145.389	ENSMUSG00000004626.14
729	1	ENSMUSG00000004630.18
