counts	gene
541	2135	ENSMUSG00000003200.10
542	10	ENSMUSG00000003206.7
543	158	ENSMUSG00000003208.9
544	1572.271	ENSMUSG00000003226.7
545	4	ENSMUSG00000003227.4
546	107	ENSMUSG00000003228.9
547	991.99	ENSMUSG00000003233.12
548	959.999	ENSMUSG00000003234.16
549	1318	ENSMUSG00000003235.13
550	1443	ENSMUSG00000003269.17
551	122	ENSMUSG00000003271.17
552	10.999	ENSMUSG00000003273.14
553	4	ENSMUSG00000003279.17
554	12	ENSMUSG00000003282.9
555	41	ENSMUSG00000003283.14
556	1179	ENSMUSG00000003299.10
557	948	ENSMUSG00000003308.15
558	1164	ENSMUSG00000003309.14
559	1004	ENSMUSG00000003316.14
560	4	ENSMUSG00000003341.9
561	607	ENSMUSG00000003344.14
562	2050	ENSMUSG00000003345.16
563	1200	ENSMUSG00000003346.14
564	1443	ENSMUSG00000003348.10
565	730	ENSMUSG00000003352.14
566	1	ENSMUSG00000003354.6
567	984.129	ENSMUSG00000003355.7
568	900.713	ENSMUSG00000003360.15
569	1492	ENSMUSG00000003363.15
570	48	ENSMUSG00000003378.9
571	25.258	ENSMUSG00000003379.7
572	2818.999	ENSMUSG00000003380.11
573	221	ENSMUSG00000003382.18
574	2776	ENSMUSG00000003402.14
575	4.002	ENSMUSG00000003410.8
576	56	ENSMUSG00000003411.10
577	7	ENSMUSG00000003418.11
578	1969.806	ENSMUSG00000003420.8
579	915.999	ENSMUSG00000003421.13
580	594.999	ENSMUSG00000003423.15
581	10640.195	ENSMUSG00000003429.11
582	4476.003	ENSMUSG00000003435.9
583	1	ENSMUSG00000003436.11
584	1603	ENSMUSG00000003437.14
585	782	ENSMUSG00000003438.17
586	675	ENSMUSG00000003444.8
587	14.419	ENSMUSG00000003452.15
588	1109.015	ENSMUSG00000003458.12
589	1623.999	ENSMUSG00000003464.13
590	1	ENSMUSG00000003469.9
591	2	ENSMUSG00000003476.16
592	498	ENSMUSG00000003477.5
593	360.821	ENSMUSG00000003484.4
594	510.999	ENSMUSG00000003500.13
595	21443.869	ENSMUSG00000003505.15
596	475.93	ENSMUSG00000003518.13
597	69	ENSMUSG00000003526.12
598	380.77	ENSMUSG00000003527.9
599	874	ENSMUSG00000003528.15
600	344	ENSMUSG00000003531.15
601	2411.999	ENSMUSG00000003534.17
602	417	ENSMUSG00000003541.6
603	59	ENSMUSG00000003545.3
604	992	ENSMUSG00000003546.10
605	931.022	ENSMUSG00000003549.9
606	525	ENSMUSG00000003555.8
607	1213	ENSMUSG00000003559.8
608	155	ENSMUSG00000003573.15
609	115	ENSMUSG00000003575.13
610	561	ENSMUSG00000003581.14
611	106	ENSMUSG00000003585.13
612	213.316	ENSMUSG00000003604.14
613	41	ENSMUSG00000003617.16
614	1258.298	ENSMUSG00000003623.4
615	1946.001	ENSMUSG00000003644.17
616	0	ENSMUSG00000003657.9
617	1233.071	ENSMUSG00000003660.10
618	1091.999	ENSMUSG00000003662.10
619	1	ENSMUSG00000003665.7
620	334	ENSMUSG00000003680.16
621	595	ENSMUSG00000003721.14
622	1441	ENSMUSG00000003731.13
623	3471	ENSMUSG00000003746.16
624	265	ENSMUSG00000003752.9
625	462	ENSMUSG00000003762.13
626	958.672	ENSMUSG00000003778.14
627	372	ENSMUSG00000003779.16
628	1690.999	ENSMUSG00000003808.18
629	554	ENSMUSG00000003809.14
630	787	ENSMUSG00000003810.12
631	562.296	ENSMUSG00000003812.13
632	1124.001	ENSMUSG00000003813.15
633	40486.752	ENSMUSG00000003814.8
634	768	ENSMUSG00000003824.12
635	359.21	ENSMUSG00000003847.16
636	413	ENSMUSG00000003848.14
637	91	ENSMUSG00000003849.8
638	5	ENSMUSG00000003863.18
639	1398.201	ENSMUSG00000003865.16
640	1117	ENSMUSG00000003868.14
641	2	ENSMUSG00000003872.9
642	1534	ENSMUSG00000003873.11
643	7.756	ENSMUSG00000003882.5
644	867.999	ENSMUSG00000003923.14
645	48	ENSMUSG00000003929.11
646	10	ENSMUSG00000003934.5
647	664	ENSMUSG00000003948.17
648	34	ENSMUSG00000003949.16
649	2033.999	ENSMUSG00000003955.8
650	12553.601	ENSMUSG00000003970.9
651	2	ENSMUSG00000003974.6
652	76.441	ENSMUSG00000003992.15
653	133.001	ENSMUSG00000004018.9
654	0	ENSMUSG00000004031.13
655	431.999	ENSMUSG00000004032.10
656	10	ENSMUSG00000004035.12
657	3.264	ENSMUSG00000004038.9
658	1638	ENSMUSG00000004040.16
659	208.351	ENSMUSG00000004043.14
660	1421	ENSMUSG00000004044.9
661	1179	ENSMUSG00000004054.9
662	1769.91	ENSMUSG00000004056.15
663	1111.999	ENSMUSG00000004069.17
664	1942.985	ENSMUSG00000004070.15
665	787.079	ENSMUSG00000004071.13
666	96.027	ENSMUSG00000004085.14
667	1606.001	ENSMUSG00000004096.9
668	41	ENSMUSG00000004098.7
669	1403.735	ENSMUSG00000004099.16
670	598.654	ENSMUSG00000004100.12
671	487	ENSMUSG00000004105.8
672	5.094	ENSMUSG00000004110.17
673	13.999	ENSMUSG00000004113.18
674	146.465	ENSMUSG00000004127.12
675	13.871	ENSMUSG00000004151.17
676	60	ENSMUSG00000004187.11
677	16864	ENSMUSG00000004207.14
678	796.958	ENSMUSG00000004221.16
679	64	ENSMUSG00000004231.15
680	126.001	ENSMUSG00000004233.14
681	600	ENSMUSG00000004263.15
682	3602	ENSMUSG00000004264.17
683	920.002	ENSMUSG00000004266.15
684	48.154	ENSMUSG00000004267.16
685	1230	ENSMUSG00000004268.11
686	1153.999	ENSMUSG00000004270.13
687	2037.999	ENSMUSG00000004285.12
688	0	ENSMUSG00000004296.14
689	311	ENSMUSG00000004317.14
690	493.013	ENSMUSG00000004319.15
691	190	ENSMUSG00000004328.15
692	4	ENSMUSG00000004341.8
693	1	ENSMUSG00000004344.12
694	37.009	ENSMUSG00000004347.17
695	265.999	ENSMUSG00000004356.8
696	7.259	ENSMUSG00000004359.16
697	0	ENSMUSG00000004360.9
698	1900.001	ENSMUSG00000004364.14
699	0	ENSMUSG00000004366.4
700	6.634	ENSMUSG00000004371.15
701	235	ENSMUSG00000004383.18
702	906	ENSMUSG00000004393.10
703	884	ENSMUSG00000004394.12
704	4.214	ENSMUSG00000004415.15
705	277	ENSMUSG00000004446.12
706	4072	ENSMUSG00000004451.14
707	1946.761	ENSMUSG00000004455.16
708	4510	ENSMUSG00000004460.17
709	344	ENSMUSG00000004462.7
710	23	ENSMUSG00000004473.10
711	147	ENSMUSG00000004500.9
712	1358	ENSMUSG00000004508.6
713	2192.374	ENSMUSG00000004530.12
714	6300	ENSMUSG00000004535.12
715	9119.562	ENSMUSG00000004540.7
716	10140.766	ENSMUSG00000004542.15
717	103	ENSMUSG00000004552.16
718	153	ENSMUSG00000004558.15
719	156.286	ENSMUSG00000004561.14
720	118.8	ENSMUSG00000004562.16
721	635.164	ENSMUSG00000004565.15
722	762.952	ENSMUSG00000004567.16
723	912.446	ENSMUSG00000004568.13
724	1959.999	ENSMUSG00000004591.16
725	26.229	ENSMUSG00000004609.11
726	3771	ENSMUSG00000004610.4
727	20	ENSMUSG00000004612.9
728	2350.553	ENSMUSG00000004626.14
729	0	ENSMUSG00000004630.18
730	1406.999	ENSMUSG00000004631.15
731	151	ENSMUSG00000004633.17
732	96.235	ENSMUSG00000004637.15
733	1198.824	ENSMUSG00000004642.13
734	0.751	ENSMUSG00000004651.6
